Position,MVP_Nominated,FG_Pct,3P_Pct,2P_Pct,PTS,3P,2P,AST,STL,BLK,REB,Player,Season,Vote_Share_Pct,MP_per_Game
SF,0,40.4,37.5,43.5,12.6,2.1,2.4,1.5,0.8,0.1,3.7,Peja Stojaković,10-10,0.0,31.4
SG,0,43.6,33.8,47.6,12.5,1.1,3.7,1.7,1.3,0.3,3.5,Courtney Lee,10-10,0.0,33.5
C,0,47.2,10.0,47.7,12.5,0.0,4.9,1.7,0.5,1.0,8.5,Jason Thompson,10-10,0.0,31.4
PG,0,47.7,40.0,49.0,12.4,0.6,4.3,5.7,1.0,0.1,2.5,Darren Collison,10-10,0.0,27.8
PG,0,47.8,39.9,50.5,12.4,1.0,3.6,2.9,0.9,0.3,2.6,George Hill,10-10,0.0,29.2
SF,0,46.7,31.6,51.5,12.3,0.7,3.7,2.0,0.6,0.5,4.4,Richard Jefferson,10-10,0.0,31.1
PG,0,45.9,38.5,47.5,12.1,0.8,4.1,5.6,1.5,0.3,3.6,Raymond Felton,10-10,0.0,33.0
PG,0,44.5,38.7,46.4,12.0,1.0,3.6,5.3,1.4,0.2,2.4,Mike Conley,10-10,0.0,32.1
PF,0,40.3,36.6,40.6,12.0,0.3,4.1,0.9,0.7,1.0,7.2,Yi Jianlian,10-10,0.0,31.8
SF,0,50.8,15.8,51.6,12.0,0.0,5.2,1.4,0.9,0.8,6.4,Shawn Marion,10-10,0.0,31.8
C,0,56.6,0.0,56.7,12.0,0.0,4.9,1.5,0.3,1.2,6.7,Shaquille O'Neal,10-10,0.0,23.4
SF,0,40.9,33.6,48.2,11.9,1.8,2.6,1.4,0.4,0.8,2.9,Rasual Butler,10-10,0.0,33.0
SF,0,50.6,29.2,55.5,11.9,0.4,3.8,2.7,1.4,1.2,4.6,Andrei Kirilenko,10-10,0.0,29.0
SG,0,35.2,30.0,37.3,11.9,1.0,3.2,2.2,1.1,0.1,3.0,Michael Redd,10-10,0.0,27.3
PF,0,43.9,35.1,48.4,11.9,1.3,3.4,0.7,0.6,0.7,4.7,Charlie Villanueva,10-10,0.0,23.7
SG,0,45.9,44.4,47.1,11.8,2.0,2.7,2.2,0.7,0.3,3.8,Raja Bell,10-10,0.0,30.0
SG,0,43.6,37.5,48.4,12.0,1.8,3.0,2.0,0.8,0.4,4.2,Raja Bell,10-10,0.0,31.4
SG,0,66.7,100.0,33.3,11.0,3.0,1.0,3.0,0.0,0.0,2.0,Raja Bell,10-10,0.0,23.0
PF,0,43.0,32.9,48.1,11.7,1.1,3.1,1.9,0.7,0.7,7.0,Anthony Tolliver,10-10,0.0,31.0
PF,0,43.1,33.1,48.1,12.3,1.1,3.3,2.0,0.7,0.8,7.3,Anthony Tolliver,10-10,0.0,32.3
C,0,44.1,,44.1,11.7,0.0,4.3,1.1,0.6,0.6,11.0,Earl Barron,10-10,0.0,33.1
C,0,49.5,50.0,49.5,11.7,0.0,4.7,2.0,0.4,1.6,5.7,Roy Hibbert,10-10,0.0,25.1
PF,0,53.8,11.1,54.3,11.6,0.0,4.7,1.6,0.8,1.2,6.8,Paul Millsap,10-10,0.0,27.8
C,0,44.3,20.0,44.7,11.6,0.0,4.1,1.3,0.8,1.5,6.5,Anthony Randolph,10-10,0.0,22.7
PF,0,45.6,27.6,46.5,11.5,0.1,4.7,1.9,1.2,1.1,9.4,Kenyon Martin,10-10,0.0,34.2
PG,0,48.1,41.2,51.1,11.4,1.0,2.9,5.0,0.7,0.1,2.7,Jarrett Jack,10-10,0.0,27.4
PF,0,48.3,32.0,54.1,11.3,0.8,3.7,4.0,0.7,0.7,5.2,Boris Diaw,10-10,0.0,35.4
SF,0,47.8,43.8,48.3,11.3,0.4,3.7,2.4,0.7,0.4,5.5,Grant Hill,10-10,0.0,30.0
SF,0,40.9,37.4,43.6,11.3,1.5,2.3,4.1,0.7,0.4,4.6,Hedo Türkoğlu,10-10,0.0,30.7
C,0,45.1,43.9,46.6,11.2,2.1,1.8,1.4,0.8,0.9,5.3,Channing Frye,10-10,0.0,27.0
C,0,60.5,,60.5,11.1,0.0,4.4,0.9,0.4,2.3,8.5,Greg Oden,10-10,0.0,23.9
SF,0,40.8,36.7,45.0,11.0,1.8,2.2,2.7,1.1,0.3,5.3,Carlos Delfino,10-10,0.0,30.4
SF,0,41.4,35.5,45.3,11.0,1.4,2.6,3.0,1.4,0.3,4.3,Metta World Peace,10-10,0.0,33.8
C,0,47.8,12.5,48.3,10.9,0.0,4.1,0.7,0.6,0.8,7.7,Drew Gooden,10-10,0.0,25.1
C,0,46.7,16.7,47.3,8.9,0.0,3.4,0.6,0.6,1.1,6.9,Drew Gooden,10-10,0.0,22.4
PF,0,49.2,0.0,49.6,14.8,0.0,5.5,0.9,0.6,0.3,9.4,Drew Gooden,10-10,0.0,30.2
SF,0,44.7,37.2,47.5,10.9,1.0,3.3,1.6,0.8,0.2,4.6,Ryan Gomes,10-10,0.0,29.1
SG,0,40.9,37.1,43.1,10.9,1.4,2.8,4.5,1.1,0.3,3.5,Kirk Hinrich,10-10,0.0,33.5
SG,0,50.1,48.0,51.5,10.9,1.5,2.5,3.9,0.7,0.2,6.2,Mike Miller,10-10,0.0,33.4
PF,0,46.3,31.9,51.0,10.8,0.7,3.5,3.3,0.9,0.7,9.8,Lamar Odom,10-10,0.0,31.5
C,0,50.4,,50.4,10.7,0.0,4.1,2.1,0.5,1.6,11.0,Joakim Noah,10-10,0.0,30.1
SF,0,47.3,35.5,47.9,10.7,0.1,4.1,1.2,0.6,0.5,3.9,Al Thornton,10-10,0.0,27.7
SF,0,47.8,35.7,48.2,10.7,0.1,4.2,1.2,0.5,0.4,3.8,Al Thornton,10-10,0.0,27.5
SF,0,46.3,35.3,47.2,10.7,0.3,3.9,1.2,0.8,0.5,4.3,Al Thornton,10-10,0.0,28.1
PF,0,44.3,33.6,49.6,10.4,1.0,3.0,1.0,0.7,0.3,6.4,Ersan İlyasova,10-10,0.0,23.4
C,0,53.0,,53.0,10.4,0.0,4.2,0.7,0.7,1.5,9.0,Emeka Okafor,10-10,0.0,28.9
PG,0,47.8,38.1,51.3,10.4,0.8,3.2,4.0,0.7,0.1,1.7,Luke Ridnour,10-10,0.0,21.5
PG,0,48.2,39.8,51.9,10.3,1.0,3.0,5.9,0.7,0.1,2.1,José Calderón,10-10,0.0,26.7
SF,0,44.6,36.9,48.0,10.3,1.0,2.9,1.2,0.7,0.2,4.5,Omri Casspi,10-10,0.0,25.1
PG,0,44.5,16.0,48.4,10.3,0.2,3.8,3.8,0.9,0.2,3.2,T.J. Ford,10-10,0.0,25.3
PG,0,42.3,42.5,42.0,10.3,2.2,1.4,9.1,1.8,0.4,5.6,Jason Kidd,10-10,0.0,36.0
PG,0,46.8,31.0,52.7,10.3,0.7,3.1,2.8,1.6,0.1,2.6,C.J. Watson,10-10,0.0,27.5
SF,0,46.1,12.5,47.9,10.2,0.1,3.7,2.0,0.5,0.5,3.0,Dahntay Jones,10-10,0.0,24.9
PG,0,43.6,39.0,47.4,10.1,1.6,2.3,2.9,0.9,0.1,2.0,Nate Robinson,10-10,0.0,19.9
PG,0,45.2,37.5,50.5,13.2,1.7,3.4,3.7,0.9,0.2,2.4,Nate Robinson,10-10,0.0,24.4
PG,0,40.1,41.4,38.6,6.5,1.4,1.0,2.0,0.8,0.0,1.5,Nate Robinson,10-10,0.0,14.7
SF,0,51.9,40.9,62.5,10.1,1.5,2.3,1.2,0.6,0.7,3.8,Nicolas Batum,10-10,0.0,24.8
PG,0,41.4,34.6,44.2,10.1,0.9,2.8,3.3,0.5,0.1,1.9,Randy Foye,10-10,0.0,23.8
C,0,60.2,0.0,60.5,10.1,0.0,4.0,1.0,0.3,1.7,7.6,Kendrick Perkins,10-10,0.0,27.6
SF,0,45.5,30.3,49.2,10.1,0.5,3.2,1.1,0.8,0.6,5.1,Marvin Williams,10-10,0.0,30.5
PG,0,44.4,21.8,47.0,10.0,0.2,3.6,4.5,0.9,0.1,2.3,Will Bynum,10-10,0.0,26.5
C,0,46.8,29.9,49.4,10.0,0.4,4.0,2.2,0.4,1.2,6.1,Spencer Hawes,10-10,0.0,26.4
SG,0,39.2,31.2,43.1,9.9,0.9,2.7,1.8,0.6,0.2,2.4,Ronald Murray,10-10,0.0,22.3
SG,0,38.9,31.3,42.5,9.9,0.9,2.6,1.8,0.6,0.3,2.1,Ronald Murray,10-10,0.0,21.6
SG,0,39.7,31.1,44.0,10.1,1.0,2.8,1.8,0.6,0.1,2.9,Ronald Murray,10-10,0.0,23.4
SF,0,41.0,31.8,47.8,9.9,1.1,2.3,1.5,0.6,0.2,3.5,Mike Dunleavy,10-10,0.0,22.2
SG,0,40.3,37.5,42.4,9.9,1.2,1.8,1.8,1.1,0.3,3.2,James Harden,10-10,0.0,22.9
PF,0,49.4,,49.4,9.9,0.0,4.0,0.7,0.4,0.3,8.1,Udonis Haslem,10-10,0.0,27.9
SF,0,42.9,34.1,48.4,9.9,1.2,2.7,1.7,0.9,0.3,2.7,C.J. Miles,10-10,0.0,23.8
SF,0,44.5,25.9,46.4,9.8,0.2,3.6,1.4,0.8,0.3,3.0,Chris Douglas-Roberts,10-10,0.0,25.8
PF,0,48.2,14.3,48.6,9.6,0.0,3.5,0.7,0.3,0.2,4.1,Hakim Warrick,10-10,0.0,20.5
PF,0,48.1,16.7,48.7,10.2,0.0,3.8,0.7,0.4,0.2,4.4,Hakim Warrick,10-10,0.0,21.3
PF,0,48.3,0.0,48.5,8.7,0.0,3.0,0.6,0.3,0.3,3.6,Hakim Warrick,10-10,0.0,19.0
SG,0,43.9,40.5,47.3,9.6,1.4,1.6,1.9,0.3,0.0,1.9,JJ Redick,10-10,0.0,22.0
PG,0,42.5,32.4,48.5,9.5,1.0,2.5,1.5,0.5,0.3,1.6,Leandro Barbosa,10-10,0.0,17.9
SF,0,51.7,43.1,60.3,9.4,1.4,2.0,1.1,0.7,0.1,2.5,Henry Walker,10-10,0.0,21.9
SG,0,51.8,43.1,60.9,11.9,1.9,2.5,1.4,0.9,0.1,3.1,Henry Walker,10-10,0.0,27.4
C,0,46.2,0.0,46.5,9.4,0.0,3.6,1.0,1.2,1.6,6.2,Tyrus Thomas,10-10,0.0,22.6
PF,0,48.3,0.0,48.5,8.8,0.0,3.4,1.1,1.4,1.7,6.3,Tyrus Thomas,10-10,0.0,23.4
C,0,44.2,0.0,44.6,10.1,0.0,3.8,0.9,0.9,1.5,6.1,Tyrus Thomas,10-10,0.0,21.7
SG,0,48.3,38.2,52.5,9.4,0.8,2.6,1.5,0.8,0.2,2.3,Wesley Matthews,10-10,0.0,24.7
SG,0,42.3,41.1,43.3,9.4,1.5,2.1,1.4,0.7,0.8,4.2,Brandon Rush,10-10,0.0,30.4
SF,0,40.5,37.3,44.0,9.4,1.5,1.6,0.8,0.5,0.5,3.3,Martell Webster,10-10,0.0,24.5
PF,0,48.1,31.3,52.0,9.3,0.5,3.2,0.7,1.0,0.4,6.0,Jonas Jerebko,10-10,0.0,27.9
SF,0,39.1,38.1,39.8,9.1,1.2,2.1,1.0,0.5,0.5,3.6,Travis Outlaw,10-10,0.0,21.5
SF,0,37.6,38.7,37.1,9.9,1.1,2.4,0.7,0.6,0.7,3.5,Travis Outlaw,10-10,0.0,21.0
SF,0,40.0,37.8,41.5,8.7,1.2,1.9,1.1,0.5,0.4,3.6,Travis Outlaw,10-10,0.0,21.7
C,0,56.2,0.0,56.3,9.1,0.0,3.6,0.6,0.3,2.1,9.3,Brendan Haywood,10-10,0.0,30.6
C,0,56.1,,56.1,9.8,0.0,3.8,0.4,0.4,2.1,10.3,Brendan Haywood,10-10,0.0,32.9
C,0,56.4,0.0,56.8,8.1,0.0,3.1,0.9,0.3,2.0,7.4,Brendan Haywood,10-10,0.0,26.5
SG,0,35.5,30.9,38.1,9.1,1.0,2.1,3.0,1.2,0.3,3.2,Larry Hughes,10-10,0.0,24.8
SG,0,36.6,28.9,40.7,9.6,0.9,2.4,3.5,1.3,0.4,3.5,Larry Hughes,10-10,0.0,26.5
SG,0,32.7,35.7,30.8,8.1,1.1,1.4,2.0,0.9,0.3,2.3,Larry Hughes,10-10,0.0,21.1
PG,0,41.6,38.9,44.4,9.1,1.6,1.8,3.9,0.8,0.0,2.3,Mike Bibby,10-10,0.0,27.4
PG,0,39.7,27.2,44.8,9.1,0.5,2.2,4.5,0.9,0.1,3.6,Kyle Lowry,10-10,0.0,24.3
